price,rating,Dual_Sim,4G,5G,Vo5G,NFC,IR_Blaster,Processor_Brand,Processor_Series,Core_Count,Clock_Speed_GHz,Performance_Tier,RAM Size GB,Storage Size GB,RAM Tier,battery_capacity,fast_charging_power,Screen_Size,Resolution_Width,Resolution_Height,Refresh_Rate,Notch_Type,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,memory_card_size,os_name,os_version,brand
non-expensive,73.0,Yes,Yes,No,No,No,No,Helio,99,8.0,2.2,Mid-Range,8.0,128.0,High-End,6000.0,18,6.82,720.0,1600.0,90.0,Water Drop Notch,50.0,1.0,8.0,1.0,Yes,512 GB,Android,v12,Tecno
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Dimensity,9000,8.0,3.2,Flagship,16.0,512.0,Flagship,6000.0,65,6.78,1080.0,2448.0,165.0,No Notch,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Asus
non-expensive,64.0,Yes,Yes,No,No,No,No,Helio,35,8.0,1.8,Unknown,3.0,32.0,Budget,4230.0,0,6.22,1520.0,720.0,60.0,Water Drop Notch,13.0,2.0,5.0,1.0,Yes,256 GB,Android,v9.0,Oppo
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Other,2,8.0,2.8,Unknown,12.0,256.0,Flagship,5003.0,30,6.71,1440.0,3120.0,120.0,Punch Hole,50.0,3.0,1.0,1.0,Yes,1 TB,Android,v12,Google
non-expensive,80.0,Yes,Yes,No,No,No,No,Helio,99,8.0,2.2,Unknown,6.0,128.0,Mid-Range,5000.0,120,6.91,1080.0,2460.0,60.0,Punch Hole,108.0,1.0,16.0,1.0,Yes,256 GB,Android,v12,Infinix
non-expensive,77.0,Yes,Yes,No,No,No,No,Snapdragon,690,8.0,2.4,Mid-Range,8.0,128.0,High-End,4300.0,30,6.55,1080.0,2400.0,90.0,Punch Hole,48.0,3.0,16.0,1.0,No,1 TB,Android,v10,OnePlus
non-expensive,74.0,Yes,Yes,No,No,No,No,Helio,85,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,18,6.6,1080.0,2460.0,90.0,Water Drop Notch,48.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Tecno
expensive,78.0,Yes,Yes,Yes,No,Yes,No,Bionic,16,6.0,2.4,Unknown,6.0,1024.0,Mid-Range,4323.0,0,6.7,1290.0,2796.0,120.0,No Notch,48.0,3.0,12.0,1.0,No,1 TB,iOS,v16,Apple
non-expensive,86.0,Yes,Yes,Yes,No,No,Yes,Dimensity,920,8.0,2.5,Unknown,8.0,128.0,High-End,4500.0,120,6.67,2400.0,1080.0,120.0,Punch Hole,108.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Xiaomi
non-expensive,80.0,Yes,Yes,Yes,No,No,No,Snapdragon,778,8.0,2.4,Unknown,8.0,128.0,High-End,4700.0,66,6.44,1080.0,2404.0,90.0,Water Drop Notch,64.0,3.0,16.0,1.0,No,1 TB,Android,v12,iQOO
expensive,77.0,Yes,Yes,Yes,No,Yes,No,Bionic,16,6.0,2.4,Unknown,6.0,256.0,Mid-Range,4323.0,0,6.7,1290.0,2796.0,120.0,No Notch,48.0,3.0,12.0,1.0,No,1 TB,iOS,v16,Apple
non-expensive,82.0,Yes,Yes,Yes,No,Yes,No,Dimensity,810,8.0,2.4,Unknown,8.0,128.0,High-End,5000.0,33,6.8,1080.0,2460.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Tecno
non-expensive,78.0,Yes,Yes,Yes,No,Yes,Yes,Dimensity,720,8.0,2.4,Unknown,6.0,128.0,Mid-Range,5000.0,67,6.67,1080.0,2460.0,120.0,Punch Hole,108.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Xiaomi
non-expensive,79.0,Yes,Yes,No,No,No,Yes,Helio,96,8.0,2.05,Unknown,6.0,128.0,Mid-Range,5000.0,33,6.43,1080.0,2400.0,90.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,POCO
non-expensive,84.0,Yes,Yes,Yes,No,Yes,No,Dimensity,8100,8.0,2.85,Unknown,8.0,128.0,High-End,4500.0,150,6.7,1080.0,2412.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,OnePlus
non-expensive,67.0,Yes,Yes,No,No,No,No,Helio,60,8.0,1.99,Unknown,6.0,128.0,Mid-Range,4000.0,0,6.2,720.0,1520.0,60.0,Water Drop Notch,16.0,1.0,13.0,1.0,Yes,256 GB,Android,v10,Gionee
non-expensive,66.0,Yes,Yes,No,No,No,No,Other,610,8.0,1.82,Unknown,4.0,64.0,Mid-Range,6000.0,18,6.82,1640.0,720.0,90.0,Punch Hole,13.0,1.0,8.0,1.0,Yes,256 GB,Android,v11,Infinix
expensive,80.0,Yes,Yes,Yes,No,Yes,Yes,Snapdragon,8,8.0,3.2,Flagship,8.0,256.0,High-End,4860.0,67,6.73,1440.0,3200.0,120.0,Punch Hole,50.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Xiaomi
non-expensive,77.0,Yes,Yes,No,No,Yes,No,Helio,85,8.0,2.4,Unknown,4.0,128.0,Mid-Range,5000.0,30,6.5,720.0,1600.0,90.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,512 GB,Android,v13,Motorola
non-expensive,61.0,Yes,Yes,No,No,No,No,Helio,25,8.0,2.4,Unknown,2.0,32.0,Budget,5000.0,0,6.53,720.0,1600.0,60.0,Water Drop Notch,13.0,1.0,5.0,1.0,Yes,512 GB,Android,v11,Xiaomi
non-expensive,75.0,Yes,Yes,No,No,No,No,Snapdragon,680,8.0,2.4,Unknown,4.0,128.0,Mid-Range,5000.0,33,6.6,1080.0,2412.0,90.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Realme
non-expensive,71.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,4.0,128.0,Mid-Range,5000.0,0,6.51,1600.0,720.0,60.0,Punch Hole,13.0,3.0,16.0,1.0,Yes,256 GB,Android,v10,OPPO
non-expensive,76.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,695,8.0,2.2,Mid-Range,4.0,64.0,Mid-Range,5000.0,33,6.6,2460.0,1080.0,90.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Motorola
expensive,81.0,Yes,Yes,No,No,Yes,Yes,Snapdragon,8,8.0,3.2,Flagship,6.0,512.0,Unknown,4700.0,66,6.74,1212.0,2616.0,120.0,No Notch,50.0,3.0,13.0,1.0,Yes,256 GB,HarmonyOS,v3.0,Huawei
non-expensive,85.0,Yes,Yes,No,No,No,No,Snapdragon,720,8.0,2.3,Unknown,8.0,128.0,High-End,4000.0,33,6.44,1080.0,2400.0,60.0,Water Drop Notch,64.0,3.0,44.0,1.0,Yes,1 TB,Android,v11,Vivo
non-expensive,85.0,Yes,Yes,Yes,Yes,No,Yes,Dimensity,8200,8.0,3.1,Unknown,8.0,128.0,High-End,5080.0,120,6.67,1080.0,2460.0,120.0,Punch Hole,50.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Xiaomi
non-expensive,75.0,Yes,Yes,No,No,No,No,Helio,37,8.0,2.3,Unknown,6.0,128.0,Mid-Range,5000.0,5,6.75,720.0,1600.0,90.0,Water Drop Notch,50.0,1.0,8.0,1.0,Yes,1 TB,Android,v12,Honor
non-expensive,80.0,Yes,Yes,Yes,No,No,No,Snapdragon,765,8.0,2.4,High-End,6.0,128.0,Mid-Range,4000.0,18,6.5,1080.0,2400.0,90.0,Punch Hole,64.0,1.0,16.0,1.0,Yes,1 TB,Android,v11,Oppo
expensive,85.0,Yes,Yes,Yes,No,Yes,No,Dimensity,9000,8.0,3.05,Flagship,8.0,256.0,High-End,5160.0,45,6.8,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Tecno
non-expensive,70.0,Yes,Yes,No,No,No,No,Exynos,7885,8.0,2.2,Unknown,4.0,64.0,Mid-Range,3300.0,0,6.0,2220.0,1080.0,60.0,No Notch,24.0,3.0,24.0,1.0,Yes,512 GB,Android,v8.0,Samsung
non-expensive,65.0,Yes,Yes,No,No,No,No,Helio,37,8.0,1.8,Unknown,3.0,32.0,Budget,5000.0,18,6.5,720.0,1600.0,90.0,Punch Hole,16.0,3.0,8.0,1.0,Yes,1 TB,Android,v12,Motorola
non-expensive,72.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,4.0,128.0,Mid-Range,4230.0,0,6.52,720.0,1600.0,60.0,Water Drop Notch,13.0,3.0,8.0,1.0,Yes,256 GB,Android,v10,Oppo
non-expensive,61.0,Yes,Yes,No,No,No,No,Helio,22,4.0,2.4,Unknown,3.0,32.0,Budget,5000.0,10,6.52,720.0,1600.0,60.0,Water Drop Notch,8.0,2.0,5.0,1.0,Yes,512 GB,Android,v12,Xiaomi
non-expensive,85.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,865,8.0,2.84,Flagship,8.0,128.0,High-End,4200.0,65,6.44,1080.0,2400.0,90.0,Dual Punch Hole,64.0,1.0,32.0,2.0,No,1 TB,Android,v10,Realme
non-expensive,60.0,Yes,Yes,No,No,No,No,Helio,25,8.0,2.4,Unknown,3.0,32.0,Budget,3000.0,10,6.0,720.0,1440.0,60.0,No Notch,13.0,1.0,5.0,1.0,Yes,1 TB,Android,v12,TCL
non-expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,695,8.0,2.2,Mid-Range,8.0,128.0,High-End,4800.0,66,6.81,1080.0,2388.0,60.0,No Notch,48.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Honor
expensive,80.0,Yes,Yes,Yes,Yes,Yes,No,Snapdragon,8 Gen2,8.0,3.2,Unknown,12.0,256.0,Flagship,4800.0,150,6.73,1440.0,3412.0,144.0,Punch Hole,108.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,OnePlus
non-expensive,71.0,Yes,Yes,No,No,No,No,Other,616,8.0,1.8,Unknown,4.0,128.0,Mid-Range,5000.0,18,6.6,1080.0,2408.0,90.0,Water Drop Notch,50.0,3.0,8.0,1.0,Yes,1 TB,Android,v11,Realme
non-expensive,82.0,Yes,Yes,No,No,No,No,Helio,96,8.0,2.05,Unknown,8.0,128.0,High-End,4050.0,44,6.44,1080.0,2400.0,60.0,Water Drop Notch,64.0,3.0,50.0,1.0,No,1 TB,Android,v11,Vivo
non-expensive,83.0,Yes,Yes,Yes,No,No,No,Snapdragon,870,8.0,3.2,Flagship,8.0,128.0,High-End,4700.0,80,6.62,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,No,1 TB,Android,v12,iQOO
expensive,84.0,Yes,Yes,Yes,No,No,No,Dimensity,1000,8.0,2.6,Unknown,8.0,128.0,High-End,4350.0,65,6.53,1080.0,2400.0,90.0,Punch Hole,64.0,1.0,32.0,1.0,Yes,1 TB,Android,v12,Oppo
non-expensive,75.0,Yes,Yes,No,No,No,Yes,Snapdragon,662,8.0,2.4,Mid-Range,6.0,64.0,Mid-Range,6000.0,18,6.53,1080.0,2340.0,60.0,Water Drop Notch,48.0,3.0,8.0,1.0,Yes,512 GB,Android,v10,Poco
non-expensive,74.0,Yes,Yes,No,No,No,No,Other,616,8.0,1.8,Unknown,6.0,128.0,Mid-Range,5000.0,18,6.6,1080.0,2408.0,90.0,Water Drop Notch,50.0,3.0,8.0,1.0,Yes,1 TB,Android,v11,Realme
non-expensive,80.0,Yes,Yes,No,No,No,No,Snapdragon,720,8.0,2.3,High-End,6.0,64.0,Mid-Range,4300.0,30,6.6,1080.0,2400.0,90.0,Dual Punch Hole,64.0,1.0,16.0,2.0,Yes,256 GB,Android,v10,Realme
non-expensive,79.0,Yes,Yes,Yes,No,Yes,No,Dimensity,700,8.0,2.2,Unknown,6.0,128.0,Mid-Range,5000.0,33,6.83,1080.0,2460.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Tecno
expensive,85.0,Yes,Yes,Yes,No,Yes,Yes,Snapdragon,8,8.0,3.2,Flagship,8.0,128.0,High-End,5000.0,120,6.67,1220.0,2712.0,144.0,Punch Hole,108.0,3.0,20.0,1.0,Yes,1 TB,Android,v12,Xiaomi
expensive,75.0,Yes,Yes,Yes,No,Yes,No,Google Tensor,3,8.0,2.4,Unknown,8.0,128.0,High-End,4830.0,67,6.6,1080.0,2400.0,120.0,Punch Hole,50.0,2.0,1.0,1.0,Yes,1 TB,Android,v12,Google
non-expensive,78.0,Yes,Yes,Yes,No,No,No,Dimensity,900,8.0,2.4,Mid-Range,8.0,128.0,High-End,6000.0,18,6.9,1080.0,2460.0,120.0,Punch Hole,50.0,2.0,16.0,1.0,Yes,512 GB,Android,v11,Tecno
non-expensive,79.0,Yes,Yes,Yes,No,Yes,No,Dimensity,720,8.0,2.4,Unknown,6.0,128.0,Mid-Range,5000.0,15,6.5,720.0,1600.0,90.0,Water Drop Notch,48.0,1.0,13.0,1.0,Yes,1 TB,Android,v11,Samsung
non-expensive,69.0,Yes,Yes,Yes,No,No,Yes,Dimensity,700,8.0,2.2,Unknown,4.0,128.0,Mid-Range,5000.0,18,6.58,1080.0,2408.0,90.0,Punch Hole,50.0,2.0,5.0,1.0,No,1 TB,Android,v11,Xiaomi
non-expensive,86.0,Yes,Yes,No,No,No,No,Snapdragon,730,8.0,2.2,High-End,8.0,128.0,High-End,4500.0,25,6.7,1080.0,2400.0,60.0,Punch Hole,64.0,1.0,32.0,1.0,Yes,1 TB,Android,v10,Samsung
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,778,8.0,2.4,High-End,8.0,256.0,High-End,5000.0,25,6.7,1080.0,2400.0,120.0,Punch Hole,108.0,1.0,32.0,1.0,Yes,1 TB,Android,v12,Samsung
non-expensive,62.0,Yes,Yes,No,No,No,No,Unisoc,9863,8.0,1.6,Unknown,3.0,32.0,Budget,5050.0,10,6.74,720.0,1600.0,60.0,Water Drop Notch,13.0,3.0,5.0,1.0,Yes,256 GB,Android,v12,Nokia
non-expensive,66.0,Yes,Yes,No,No,No,No,Helio,25,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,10,6.53,720.0,1600.0,60.0,Water Drop Notch,13.0,1.0,5.0,1.0,Yes,512 GB,Android,v10,Xiaomi
expensive,80.0,Yes,Yes,Yes,No,Yes,Yes,Snapdragon,8,8.0,3.2,Flagship,12.0,256.0,Flagship,4800.0,67,6.73,1440.0,3200.0,120.0,Punch Hole,50.0,3.0,20.0,1.0,Yes,1 TB,Android,v12,Xiaomi
expensive,86.0,Yes,Yes,Yes,No,No,No,Dimensity,9000,8.0,3.05,Unknown,8.0,128.0,High-End,4500.0,80,6.78,1080.0,2400.0,120.0,Punch Hole,50.0,3.0,32.0,1.0,No,1 TB,Android,v12,Vivo
non-expensive,75.0,Yes,Yes,Yes,No,Yes,No,Exynos,1280,8.0,2.4,Mid-Range,6.0,128.0,Mid-Range,5000.0,33,6.5,1080.0,2400.0,90.0,Punch Hole,48.0,1.0,13.0,1.0,Yes,1 TB,Android,v12,Samsung
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8 Gen2,8.0,3.2,Unknown,8.0,128.0,High-End,4500.0,100,6.7,1440.0,3216.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,OnePlus
non-expensive,74.0,Yes,Yes,No,No,No,Yes,Helio,80,8.0,2.4,Unknown,6.0,64.0,Mid-Range,5000.0,18,6.53,1080.0,2340.0,60.0,Water Drop Notch,13.0,1.0,8.0,1.0,Yes,512 GB,Android,v10.0,Poco
expensive,79.0,Yes,Yes,Yes,No,Yes,No,Bionic,15,6.0,3.22,Unknown,4.0,128.0,Mid-Range,2438.0,0,5.4,1080.0,2340.0,60.0,Large Notch,12.0,2.0,12.0,1.0,No,1 TB,iOS,v15,Apple
expensive,82.0,Yes,Yes,Yes,No,Yes,No,Bionic,15,6.0,3.22,Unknown,6.0,256.0,Mid-Range,3279.0,0,6.1,1170.0,2532.0,60.0,Small Notch,12.0,2.0,12.0,1.0,No,1 TB,iOS,v16,Apple
non-expensive,80.0,No,No,No,No,No,No,Other,32,8.0,2.4,Unknown,6.0,128.0,Unknown,5000.0,0,6.58,1080.0,2400.0,90.0,Unknown,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Zanco
expensive,84.0,No,Yes,Yes,No,Yes,No,Snapdragon,888,8.0,2.84,Flagship,8.0,128.0,High-End,3300.0,15,6.7,1080.0,2640.0,120.0,Punch Hole,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Samsung
non-expensive,74.0,Yes,Yes,No,No,Yes,No,Exynos,850,8.0,2.4,Unknown,4.0,64.0,Mid-Range,6000.0,15,6.6,2408.0,1080.0,60.0,Water Drop Notch,50.0,3.0,8.0,1.0,Yes,1 TB,Android,v12,Samsung
non-expensive,76.0,Yes,Yes,No,No,No,Yes,Helio,99,8.0,2.2,Mid-Range,6.0,128.0,Mid-Range,5000.0,18,6.58,1080.0,2400.0,90.0,Water Drop Notch,50.0,3.0,8.0,1.0,Yes,512 GB,Android,v12,Xiaomi
non-expensive,82.0,Yes,Yes,Yes,No,No,No,Dimensity,700,8.0,2.2,Unknown,8.0,128.0,High-End,5000.0,18,6.58,1080.0,2408.0,60.0,Water Drop Notch,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,80.0,Yes,Yes,No,No,No,No,Snapdragon,680,8.0,2.4,Unknown,6.0,128.0,Mid-Range,5000.0,44,6.44,1080.0,2400.0,120.0,Water Drop Notch,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,iQOO
expensive,86.0,Yes,Yes,Yes,No,Yes,No,Dimensity,8200,8.0,3.1,Unknown,8.0,256.0,High-End,4600.0,66,6.78,1080.0,2400.0,120.0,Punch Hole,50.0,3.0,50.0,1.0,Yes,1 TB,Android,v12,Vivo
expensive,86.0,Yes,Yes,Yes,No,Yes,No,Dimensity,8100,8.0,2.85,Unknown,16.0,256.0,Flagship,4500.0,67,6.7,1080.0,2412.0,120.0,Punch Hole,50.0,2.0,32.0,1.0,Yes,1 TB,Android,v12,OPPO
non-expensive,65.0,Yes,Yes,No,No,No,No,Helio,22,8.0,2.4,Unknown,3.0,32.0,Budget,4230.0,0,6.52,720.0,1600.0,60.0,Water Drop Notch,13.0,1.0,5.0,1.0,Yes,1 TB,Android,v11,OPPO
non-expensive,73.0,Yes,Yes,No,No,No,No,Snapdragon,680,8.0,2.4,Unknown,6.0,128.0,Mid-Range,5000.0,33,6.56,720.0,1612.0,90.0,Punch Hole,13.0,2.0,8.0,1.0,Yes,1 TB,Android,v11,OPPO
non-expensive,80.0,No,Yes,No,No,No,No,Other,215,4.0,1.3,Unknown,2.0,16.0,Budget,2000.0,0,4.0,480.0,640.0,60.0,No Notch,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,CAT
expensive,76.0,Yes,Yes,Yes,No,Yes,No,Bionic,16,6.0,2.4,Unknown,6.0,256.0,Mid-Range,3200.0,0,6.1,1179.0,2556.0,120.0,No Notch,48.0,3.0,12.0,1.0,No,1 TB,iOS,v16,Apple
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8,8.0,3.2,Unknown,12.0,256.0,Flagship,4500.0,67,6.71,1440.0,3214.0,120.0,Punch Hole,200.0,3.0,10.0,1.0,Yes,1 TB,Android,v12,Samsung
non-expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,865,8.0,2.84,Flagship,6.0,128.0,Mid-Range,5000.0,33,6.67,2400.0,1080.0,144.0,Punch Hole,64.0,3.0,20.0,1.0,Yes,1 TB,Android,v12,Xiaomi
non-expensive,78.0,Yes,Yes,Yes,No,No,No,Dimensity,810,8.0,2.4,Unknown,6.0,64.0,Mid-Range,5000.0,33,6.7,1080.0,2400.0,60.0,Water Drop Notch,50.0,2.0,16.0,1.0,Yes,2 TB,Android,v12,Infinix
expensive,85.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,695,8.0,2.2,Unknown,6.0,128.0,Mid-Range,4200.0,33,6.43,1080.0,2400.0,90.0,Punch Hole,50.0,2.0,16.0,1.0,Yes,1 TB,Android,v12,Nokia
non-expensive,82.0,Yes,Yes,Yes,No,No,Yes,Dimensity,810,8.0,2.4,Unknown,8.0,128.0,High-End,5000.0,33,6.6,1080.0,2400.0,90.0,Punch Hole,50.0,2.0,16.0,1.0,Yes,1 TB,Android,v11,Poco
non-expensive,78.0,Yes,Yes,Yes,No,No,No,Dimensity,920,8.0,2.5,Unknown,6.0,128.0,Mid-Range,4500.0,60,6.4,1080.0,2400.0,90.0,Punch Hole,50.0,3.0,16.0,1.0,No,1 TB,Android,v12,Realme
expensive,88.0,Yes,Yes,Yes,No,No,No,Dimensity,9000,8.0,3.05,Unknown,12.0,256.0,Flagship,4500.0,80,6.78,1080.0,2400.0,120.0,Punch Hole,50.0,3.0,32.0,1.0,No,1 TB,Android,v12,Vivo
non-expensive,77.0,Yes,Yes,No,No,No,No,Snapdragon,680,8.0,2.4,Mid-Range,4.0,128.0,Mid-Range,5000.0,44,6.44,1080.0,2408.0,60.0,Water Drop Notch,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,85.0,Yes,Yes,Yes,No,No,No,Snapdragon,888,8.0,2.9,Flagship,6.0,128.0,Mid-Range,5000.0,33,6.8,1080.0,2460.0,144.0,Punch Hole,108.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Motorola
expensive,85.0,Yes,Yes,Yes,No,No,No,Snapdragon,888,8.0,2.84,Flagship,6.0,128.0,Mid-Range,6000.0,25,6.67,1080.0,2412.0,90.0,Punch Hole,64.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Samsung
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8,8.0,3.2,Unknown,12.0,256.0,Flagship,4400.0,25,7.6,1812.0,2176.0,120.0,Punch Hole,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Samsung
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,7 Gen1,8.0,2.36,High-End,8.0,128.0,High-End,5000.0,33,6.7,1080.0,2412.0,120.0,Punch Hole,108.0,1.0,32.0,1.0,Yes,1 TB,Android,v12,Samsung
expensive,85.0,Yes,Yes,Yes,No,No,No,Snapdragon,888,8.0,2.9,Unknown,12.0,256.0,Flagship,4350.0,120,6.56,1080.0,2376.0,120.0,Punch Hole,48.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,iQOO
non-expensive,75.0,Yes,Yes,Yes,No,No,No,Exynos,1330,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,15,6.6,1080.0,2408.0,90.0,Water Drop Notch,50.0,3.0,13.0,1.0,Yes,1 TB,Android,v13,Samsung
non-expensive,80.0,Yes,Yes,No,No,No,No,Other,3,8.0,2.4,Unknown,6.0,128.0,Unknown,5000.0,0,6.58,1080.0,2400.0,90.0,Unknown,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,itel
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,888,8.0,2.84,Flagship,12.0,512.0,Flagship,4500.0,30,6.5,1644.0,3840.0,120.0,No Notch,12.0,3.0,8.0,1.0,Yes,1 TB,Android,v11,Sony
expensive,88.0,Yes,Yes,No,No,Yes,No,Snapdragon,855,8.0,2.8,Unknown,8.0,256.0,High-End,4000.0,27,6.39,1080.0,2340.0,60.0,No Notch,48.0,3.0,20.0,1.0,No,1 TB,Android,v9.0,Xiaomi
expensive,84.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8 Gen2,8.0,3.2,Flagship,8.0,128.0,High-End,6000.0,80,6.8,1116.0,2480.0,120.0,No Notch,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Nubia
non-expensive,82.0,Yes,Yes,Yes,No,No,No,Dimensity,810,8.0,2.4,Unknown,8.0,128.0,High-End,5000.0,33,6.5,1080.0,2400.0,90.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Realme
non-expensive,79.0,Yes,Yes,No,No,No,No,Helio,80,8.0,2.4,Unknown,6.0,128.0,Mid-Range,6000.0,15,6.4,1080.0,2400.0,90.0,Water Drop Notch,64.0,1.0,20.0,1.0,Yes,1 TB,Android,v11,Samsung
